contract,contract_label,supplier_choice,supplier_payoff,buyer_payoff,supplier_payoff_high,supplier_payoff_low,supplier_payoff_none,buyer_payoff_high,buyer_payoff_low,buyer_payoff_none,c,q,r,p,F,B,S,R,L,v,g,k,alpha,lam,beta,eta_penalty,r_low_share,confidentiality,B_L,contract_value,outside_option,experiment
basic_compliance,Basic compliance,none,5.4,-5.0,-1.1499999999999992,2.9549999999999996,5.4,14.7,0.11000000000000001,-5.0,3.5,0.4,0.5,0.05,1.0,0.25,0.0,15.0,5.0,1.0,0.8,0.0,1.4,0.45,0.35,0.2,0.35,0.1,0.1,7.0,5.4,base_grid
basic_compliance,Basic compliance,none,5.4,-5.0,-2.0499999999999994,2.6399999999999997,5.4,8.7,-1.99,-5.0,3.5,0.4,1.5,0.05,1.0,0.25,0.0,9.0,5.0,1.0,0.8,0.0,1.4,0.45,0.35,0.2,0.35,0.1,0.1,7.0,5.4,base_grid
basic_compliance,Basic compliance,none,5.4,-5.0,-2.0499999999999994,2.6399999999999997,5.4,11.7,-0.9400000000000007,-5.0,3.5,0.4,1.5,0.05,1.0,0.25,0.0,12.0,5.0,1.0,0.8,0.0,1.4,0.45,0.35,0.2,0.35,0.1,0.1,7.0,5.4,base_grid
basic_compliance,Basic compliance,none,5.4,-5.0,-2.0499999999999994,2.6399999999999997,5.4,14.7,0.11000000000000001,-5.0,3.5,0.4,1.5,0.05,1.0,0.25,0.0,15.0,5.0,1.0,0.8,0.0,1.4,0.45,0.35,0.2,0.35,0.1,0.1,7.0,5.4,base_grid
basic_compliance,Basic compliance,none,5.4,-5.0,-2.9499999999999993,2.3249999999999997,5.4,8.7,-1.99,-5.0,3.5,0.4,2.5,0.05,1.0,0.25,0.0,9.0,5.0,1.0,0.8,0.0,1.4,0.45,0.35,0.2,0.35,0.1,0.1,7.0,5.4,base_grid
basic_compliance,Basic compliance,none,5.4,-5.0,-2.9499999999999993,2.3249999999999997,5.4,11.7,-0.9400000000000007,-5.0,3.5,0.4,2.5,0.05,1.0,0.25,0.0,12.0,5.0,1.0,0.8,0.0,1.4,0.45,0.35,0.2,0.35,0.1,0.1,7.0,5.4,base_grid
basic_compliance,Basic compliance,none,5.4,-5.0,-2.9499999999999993,2.3249999999999997,5.4,14.7,0.11000000000000001,-5.0,3.5,0.4,2.5,0.05,1.0,0.25,0.0,15.0,5.0,1.0,0.8,0.0,1.4,0.45,0.35,0.2,0.35,0.1,0.1,7.0,5.4,base_grid
basic_compliance,Basic compliance,none,5.4,-5.0,-3.849999999999999,2.01,5.4,8.7,-1.99,-5.0,3.5,0.4,3.5,0.05,1.0,0.25,0.0,9.0,5.0,1.0,0.8,0.0,1.4,0.45,0.35,0.2,0.35,0.1,0.1,7.0,5.4,base_grid
basic_compliance,Basic compliance,none,5.4,-5.0,-3.849999999999999,2.01,5.4,11.7,-0.9400000000000007,-5.0,3.5,0.4,3.5,0.05,1.0,0.25,0.0,12.0,5.0,1.0,0.8,0.0,1.4,0.45,0.35,0.2,0.35,0.1,0.1,7.0,5.4,base_grid
basic_compliance,Basic compliance,none,5.4,-5.0,-3.849999999999999,2.01,5.4,14.7,0.11000000000000001,-5.0,3.5,0.4,3.5,0.05,1.0,0.25,0.0,15.0,5.0,1.0,0.8,0.0,1.4,0.45,0.35,0.2,0.35,0.1,0.1,7.0,5.4,base_grid
basic_compliance,Basic compliance,none,5.4,-5.0,-4.8999999999999995,1.2674999999999996,5.4,8.7,-1.99,-5.0,5.0,0.4,0.5,0.05,1.0,0.25,0.0,9.0,5.0,1.0,0.8,0.0,1.4,0.45,0.35,0.2,0.35,0.1,0.1,7.0,5.4,base_grid
basic_compliance,Basic compliance,none,5.4,-5.0,-4.8999999999999995,1.2674999999999996,5.4,11.7,-0.9400000000000007,-5.0,5.0,0.4,0.5,0.05,1.0,0.25,0.0,12.0,5.0,1.0,0.8,0.0,1.4,0.45,0.35,0.2,0.35,0.1,0.1,7.0,5.4,base_grid
basic_compliance,Basic compliance,none,5.4,-5.0,-4.8999999999999995,1.2674999999999996,5.4,14.7,0.11000000000000001,-5.0,5.0,0.4,0.5,0.05,1.0,0.25,0.0,15.0,5.0,1.0,0.8,0.0,1.4,0.45,0.35,0.2,0.35,0.1,0.1,7.0,5.4,base_grid
basic_compliance,Basic compliance,none,5.4,-5.0,-5.799999999999999,0.9524999999999997,5.4,8.7,-1.99,-5.0,5.0,0.4,1.5,0.05,1.0,0.25,0.0,9.0,5.0,1.0,0.8,0.0,1.4,0.45,0.35,0.2,0.35,0.1,0.1,7.0,5.4,base_grid
basic_compliance,Basic compliance,none,5.4,-5.0,-5.799999999999999,0.9524999999999997,5.4,11.7,-0.9400000000000007,-5.0,5.0,0.4,1.5,0.05,1.0,0.25,0.0,12.0,5.0,1.0,0.8,0.0,1.4,0.45,0.35,0.2,0.35,0.1,0.1,7.0,5.4,base_grid
basic_compliance,Basic compliance,none,5.4,-5.0,-5.799999999999999,0.9524999999999997,5.4,14.7,0.11000000000000001,-5.0,5.0,0.4,1.5,0.05,1.0,0.25,0.0,15.0,5.0,1.0,0.8,0.0,1.4,0.45,0.35,0.2,0.35,0.1,0.1,7.0,5.4,base_grid
basic_compliance,Basic compliance,none,5.4,-5.0,-6.699999999999999,0.6374999999999996,5.4,8.7,-1.99,-5.0,5.0,0.4,2.5,0.05,1.0,0.25,0.0,9.0,5.0,1.0,0.8,0.0,1.4,0.45,0.35,0.2,0.35,0.1,0.1,7.0,5.4,base_grid
basic_compliance,Basic compliance,none,5.4,-5.0,-6.699999999999999,0.6374999999999996,5.4,11.7,-0.9400000000000007,-5.0,5.0,0.4,2.5,0.05,1.0,0.25,0.0,12.0,5.0,1.0,0.8,0.0,1.4,0.45,0.35,0.2,0.35,0.1,0.1,7.0,5.4,base_grid
basic_compliance,Basic compliance,none,5.4,-5.0,-6.699999999999999,0.6374999999999996,5.4,14.7,0.11000000000000001,-5.0,5.0,0.4,2.5,0.05,1.0,0.25,0.0,15.0,5.0,1.0,0.8,0.0,1.4,0.45,0.35,0.2,0.35,0.1,0.1,7.0,5.4,base_grid
basic_compliance,Basic compliance,none,5.4,-5.0,-7.6,0.3224999999999998,5.4,8.7,-1.99,-5.0,5.0,0.4,3.5,0.05,1.0,0.25,0.0,9.0,5.0,1.0,0.8,0.0,1.4,0.45,0.35,0.2,0.35,0.1,0.1,7.0,5.4,base_grid
basic_compliance,Basic compliance,none,5.4,-5.0,-7.6,0.3224999999999998,5.4,11.7,-0.9400000000000007,-5.0,5.0,0.4,3.5,0.05,1.0,0.25,0.0,12.0,5.0,1.0,0.8,0.0,1.4,0.45,0.35,0.2,0.35,0.1,0.1,7.0,5.4,base_grid
basic_compliance,Basic compliance,none,5.4,-5.0,-7.6,0.3224999999999998,5.4,14.7,0.11000000000000001,-5.0,5.0,0.4,3.5,0.05,1.0,0.25,0.0,15.0,5.0,1.0,0.8,0.0,1.4,0.45,0.35,0.2,0.35,0.1,0.1,7.0,5.4,base_grid
basic_compliance,Basic compliance,none,5.4,-5.0,-8.649999999999999,-0.4200000000000004,5.4,8.7,-1.99,-5.0,6.5,0.4,0.5,0.05,1.0,0.25,0.0,9.0,5.0,1.0,0.8,0.0,1.4,0.45,0.35,0.2,0.35,0.1,0.1,7.0,5.4,base_grid
basic_compliance,Basic compliance,none,5.4,-5.0,-8.649999999999999,-0.4200000000000004,5.4,11.7,-0.9400000000000007,-5.0,6.5,0.4,0.5,0.05,1.0,0.25,0.0,12.0,5.0,1.0,0.8,0.0,1.4,0.45,0.35,0.2,0.35,0.1,0.1,7.0,5.4,base_grid
basic_compliance,Basic compliance,none,5.4,-5.0,-8.649999999999999,-0.4200000000000004,5.4,14.7,0.11000000000000001,-5.0,6.5,0.4,0.5,0.05,1.0,0.25,0.0,15.0,5.0,1.0,0.8,0.0,1.4,0.45,0.35,0.2,0.35,0.1,0.1,7.0,5.4,base_grid
basic_compliance,Basic compliance,none,5.4,-5.0,-9.549999999999999,-0.7350000000000003,5.4,8.7,-1.99,-5.0,6.5,0.4,1.5,0.05,1.0,0.25,0.0,9.0,5.0,1.0,0.8,0.0,1.4,0.45,0.35,0.2,0.35,0.1,0.1,7.0,5.4,base_grid
basic_compliance,Basic compliance,none,5.4,-5.0,-9.549999999999999,-0.7350000000000003,5.4,11.7,-0.9400000000000007,-5.0,6.5,0.4,1.5,0.05,1.0,0.25,0.0,12.0,5.0,1.0,0.8,0.0,1.4,0.45,0.35,0.2,0.35,0.1,0.1,7.0,5.4,base_grid
basic_compliance,Basic compliance,none,5.4,-5.0,-9.549999999999999,-0.7350000000000003,5.4,14.7,0.11000000000000001,-5.0,6.5,0.4,1.5,0.05,1.0,0.25,0.0,15.0,5.0,1.0,0.8,0.0,1.4,0.45,0.35,0.2,0.35,0.1,0.1,7.0,5.4,base_grid
basic_compliance,Basic compliance,none,5.4,-5.0,-10.45,-1.0500000000000003,5.4,8.7,-1.99,-5.0,6.5,0.4,2.5,0.05,1.0,0.25,0.0,9.0,5.0,1.0,0.8,0.0,1.4,0.45,0.35,0.2,0.35,0.1,0.1,7.0,5.4,base_grid
basic_compliance,Basic compliance,none,5.4,-5.0,-10.45,-1.0500000000000003,5.4,11.7,-0.9400000000000007,-5.0,6.5,0.4,2.5,0.05,1.0,0.25,0.0,12.0,5.0,1.0,0.8,0.0,1.4,0.45,0.35,0.2,0.35,0.1,0.1,7.0,5.4,base_grid
basic_compliance,Basic compliance,none,5.4,-5.0,-10.45,-1.0500000000000003,5.4,14.7,0.11000000000000001,-5.0,6.5,0.4,2.5,0.05,1.0,0.25,0.0,15.0,5.0,1.0,0.8,0.0,1.4,0.45,0.35,0.2,0.35,0.1,0.1,7.0,5.4,base_grid
basic_compliance,Basic compliance,none,5.4,-5.0,-11.35,-1.3650000000000002,5.4,8.7,-1.99,-5.0,6.5,0.4,3.5,0.05,1.0,0.25,0.0,9.0,5.0,1.0,0.8,0.0,1.4,0.45,0.35,0.2,0.35,0.1,0.1,7.0,5.4,base_grid
basic_compliance,Basic compliance,none,5.4,-5.0,-11.35,-1.3650000000000002,5.4,11.7,-0.9400000000000007,-5.0,6.5,0.4,3.5,0.05,1.0,0.25,0.0,12.0,5.0,1.0,0.8,0.0,1.4,0.45,0.35,0.2,0.35,0.1,0.1,7.0,5.4,base_grid
basic_compliance,Basic compliance,none,5.4,-5.0,-11.35,-1.3650000000000002,5.4,14.7,0.11000000000000001,-5.0,6.5,0.4,3.5,0.05,1.0,0.25,0.0,15.0,5.0,1.0,0.8,0.0,1.4,0.45,0.35,0.2,0.35,0.1,0.1,7.0,5.4,base_grid
basic_compliance,Basic compliance,none,5.4,-5.0,-12.399999999999999,-2.1075000000000004,5.4,8.7,-1.99,-5.0,8.0,0.4,0.5,0.05,1.0,0.25,0.0,9.0,5.0,1.0,0.8,0.0,1.4,0.45,0.35,0.2,0.35,0.1,0.1,7.0,5.4,base_grid
basic_compliance,Basic compliance,none,5.4,-5.0,-12.399999999999999,-2.1075000000000004,5.4,11.7,-0.9400000000000007,-5.0,8.0,0.4,0.5,0.05,1.0,0.25,0.0,12.0,5.0,1.0,0.8,0.0,1.4,0.45,0.35,0.2,0.35,0.1,0.1,7.0,5.4,base_grid
basic_compliance,Basic compliance,none,5.4,-5.0,-12.399999999999999,-2.1075000000000004,5.4,14.7,0.11000000000000001,-5.0,8.0,0.4,0.5,0.05,1.0,0.25,0.0,15.0,5.0,1.0,0.8,0.0,1.4,0.45,0.35,0.2,0.35,0.1,0.1,7.0,5.4,base_grid
basic_compliance,Basic compliance,none,5.4,-5.0,-13.299999999999999,-2.4225000000000003,5.4,8.7,-1.99,-5.0,8.0,0.4,1.5,0.05,1.0,0.25,0.0,9.0,5.0,1.0,0.8,0.0,1.4,0.45,0.35,0.2,0.35,0.1,0.1,7.0,5.4,base_grid
